Participant,roi_sequence,experience
14.0,"0,9,8,9,0,0,7,0,9,9",ThirdYear
14.0,"0,9,0,9,9,9,9,9,9,0",ThirdYear
14.0,"9,9,9,9,8,9,0,9,9,8",ThirdYear
14.0,"8,8,8,9,9,9,0,7,18,0",ThirdYear
14.0,"18,0,0,0,9,19,0,17,17,7",ThirdYear
14.0,"7,7,7,7,17,19,18,7,2,2",ThirdYear
14.0,"11,9,19,19,0,0,19,0,9,9",ThirdYear
14.0,"0,9,19,9,9,8,8,8,8,9",ThirdYear
14.0,"9,9,8,8,8,9,9,8,8,9",ThirdYear
14.0,"9,9,9,31,17,13,17,19,0,17",ThirdYear
14.0,"17,19,17,17,17,21,0,15,15,13",ThirdYear
14.0,"0,11,7,8,8,9,9,9,9,8",ThirdYear
14.0,"9,9,9,9,0,15,0,5,7,7",ThirdYear
14.0,"7,7,9,8,8,17,17,15,15,21",ThirdYear
14.0,"20,0,23,8,11,2,0,2,4,4",ThirdYear
14.0,"4,0,2,2,15,4,4,4,4,4",ThirdYear
14.0,"6,6,6,8,3,28,24,0,10,11",ThirdYear
14.0,"12,13,20,15,0,15,4,2,2,2",ThirdYear
14.0,"2,2,2,2,2,12,2,2,2,2",ThirdYear
14.0,"0,12,0,0,13,0,13,13,12,13",ThirdYear
14.0,"0,0,12,0,12,12,12,11,12,11",ThirdYear
14.0,"0,0,0,0,10,10,10,0,18,18",ThirdYear
14.0,"10,10,0,10,0,0,0,21,21,23",ThirdYear
14.0,"23,33,0,23,26,30,29,24,8,8",ThirdYear
14.0,"8,1,3,30,29,29,24,8,2,4",ThirdYear
14.0,"4,23,23,24,23,33,22,23,24,23",ThirdYear
14.0,"23,23,23,23,0,0,0,0,21,0",ThirdYear
14.0,"12,12,0,0,0,15,15,0,0,18",ThirdYear
14.0,"10,11,12,22,2,12,12,12,8,1",ThirdYear
14.0,"1,1,4,3,3,3,3,3,3,0",ThirdYear
14.0,"3,16,4,4,8,4,4,4,4,4",ThirdYear
14.0,"4,16,12,16,0,12,13,12,19,11",ThirdYear
14.0,"18,3,3,3,3,2,3,3,3,3",ThirdYear
14.0,"3,3,3,3,3,1,3,3,2,3",ThirdYear
14.0,"6,1,11,21,10,9,10,11,1,16",ThirdYear
14.0,"11,5,4,4,5,4,1,1,6,13",ThirdYear
14.0,"0,14,0,11,19,11,14,12,6,5",ThirdYear
14.0,"5,3,2,1,1,1,1,19,21,21",ThirdYear
14.0,"9,4,4,9,10,4,4,3,3,0",ThirdYear
14.0,"15,1,1,1,11,11,4,11,11,11",ThirdYear
14.0,"4,5,5,11,1,19,19,18,15,17",ThirdYear
14.0,"9,9,9,4,9,4,5,4,4,4",ThirdYear
14.0,"4,6,12,13,5,2,2,17,11,14",ThirdYear
14.0,"13,12,15,0,14,1,2,5,3,0",ThirdYear
14.0,"5,16,11,1,1,14,8,16,13,9",ThirdYear
14.0,"12,9,6,5,5,9,9,14,14,14",ThirdYear
14.0,"17,16,12,12,12,12,12,12,12,12",ThirdYear
14.0,"12,4,4,12,12,12,12,12,14,14",ThirdYear
14.0,"15,15,7,9,10,17,16,7,7,10",ThirdYear
14.0,"10,7,7,7,15,15,17,17,10,15",ThirdYear
14.0,"10,10,10,10,10,10,10,17,17,17",ThirdYear
14.0,"17,17,17,16,16,16,5,8,8,4",ThirdYear
14.0,"5,2,14,3,9,1,3,2,7,2",ThirdYear
14.0,"13,8,18,2,2,3,1,3,3,10",ThirdYear
14.0,"11,7,0,16,3,2,13,11,13,14",ThirdYear
14.0,"12,2,13,13,3,3,19,3,6,3",ThirdYear
14.0,"3,3,0,3,3,3,3,3,3,6",ThirdYear
14.0,"6,3,3,3,3,3,3,3,3,3",ThirdYear
14.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
14.0,"19,19,19,19,19,19,3,3,3,3",ThirdYear
14.0,"2,5,3,1,2,2,2,2,2,18",ThirdYear
14.0,"2,9,8,1,1,1,1,3,3,3",ThirdYear
14.0,"3,3,6,3,9,6,3,3,3,1",ThirdYear
14.0,"3,1,3,3,3,3,9,9,3,6",ThirdYear
14.0,"3,3,19,3,3,3,3,19,11,14",ThirdYear
14.0,"8,8,6,3,8,13,5,4,11,2",ThirdYear
14.0,"2,12,13,12,0,12,12,12,18,19",ThirdYear
14.0,"12,7,8,5,5,7,2,5,4,4",ThirdYear
14.0,"4,2,4,4,5,5,19,19,13,13",ThirdYear
14.0,"11,11,11,2,7,19,19,18,18,15",ThirdYear
14.0,"15,16,13,13,13,2,1,1,1,7",ThirdYear
14.0,"13,1,1,1,1,1,1,1,1,2",ThirdYear
14.0,"2,1,2,2,2,5,15,18,17,15",ThirdYear
14.0,"16,7,7,8,15,16,19,18,18,15",ThirdYear
14.0,"16,5,4,18,18,7,18,13,13,8",ThirdYear
15.0,"19,9,9,0,0,9,9,18,0,0",ThirdYear
15.0,"0,2,0,0,9,9,0,0,9,0",ThirdYear
15.0,"7,17,0,0,0,9,0,0,9,9",ThirdYear
15.0,"7,9,18,19,18,0,0,0,19,9",ThirdYear
15.0,"9,18,9,7,7,17,17,12,0,9",ThirdYear
15.0,"8,8,8,9,8,8,9,9,12,8",ThirdYear
15.0,"8,9,9,17,13,5,13,15,17,17",ThirdYear
15.0,"17,0,18,0,0,0,9,9,29,13",ThirdYear
15.0,"6,5,7,9,8,8,8,8,8,8",ThirdYear
15.0,"9,8,9,0,0,17,0,17,23,18",ThirdYear
15.0,"9,23,19,9,9,9,9,9,8,8",ThirdYear
15.0,"9,9,9,7,9,8,9,9,8,9",ThirdYear
15.0,"0,9,9,9,0,0,23,18,0,8",ThirdYear
15.0,"8,9,0,0,9,9,9,9,9,31",ThirdYear
15.0,"17,17,7,7,9,0,9,0,9,9",ThirdYear
15.0,"8,9,0,9,9,9,9,0,0,0",ThirdYear
15.0,"19,23,0,0,9,8,15,4,4,4",ThirdYear
15.0,"0,4,4,0,15,12,12,13,12,11",ThirdYear
15.0,"10,5,5,6,4,6,0,4,9,25",ThirdYear
15.0,"24,24,26,29,0,18,0,10,15,11",ThirdYear
15.0,"14,15,12,13,13,12,11,12,0,13",ThirdYear
15.0,"13,20,20,21,19,0,20,20,18,19",ThirdYear
15.0,"19,18,16,10,19,18,16,18,10,10",ThirdYear
15.0,"8,8,8,3,3,6,6,4,4,4",ThirdYear
15.0,"1,12,11,12,12,12,12,11,12,12",ThirdYear
15.0,"12,12,12,12,12,12,0,0,10,10",ThirdYear
15.0,"10,0,9,17,18,10,2,2,11,18",ThirdYear
15.0,"11,14,0,11,14,15,0,15,12,10",ThirdYear
15.0,"12,23,23,23,2,2,25,17,29,24",ThirdYear
15.0,"19,12,12,4,4,8,4,2,4,4",ThirdYear
15.0,"2,4,4,4,4,4,4,2,12,12",ThirdYear
15.0,"0,2,0,24,1,1,23,23,8,9",ThirdYear
15.0,"3,1,1,3,25,29,25,26,24,2",ThirdYear
15.0,"11,20,0,2,5,18,8,8,8,8",ThirdYear
15.0,"4,9,3,3,3,3,3,16,12,3",ThirdYear
15.0,"12,13,16,19,11,12,3,4,12,12",ThirdYear
15.0,"16,14,4,8,8,4,4,4,3,4",ThirdYear
15.0,"4,3,3,4,4,3,3,3,13,1",ThirdYear
15.0,"18,15,11,15,21,9,6,3,3,3",ThirdYear
15.0,"3,3,3,3,12,12,14,11,1,11",ThirdYear
15.0,"2,5,14,16,15,15,15,1,12,16",ThirdYear
15.0,"19,1,1,3,3,3,3,3,3,3",ThirdYear
15.0,"3,3,3,3,3,3,3,3,2,1",ThirdYear
15.0,"1,19,21,19,3,3,3,3,3,3",ThirdYear
15.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
15.0,"3,2,3,3,3,4,4,4,9,9",ThirdYear
15.0,"17,19,1,11,1,1,15,1,1,15",ThirdYear
15.0,"13,12,0,12,0,11,16,15,1,1",ThirdYear
15.0,"1,1,3,1,15,3,3,3,1,1",ThirdYear
15.0,"1,1,15,1,3,3,5,12,4,5",ThirdYear
15.0,"3,3,3,15,15,17,1,1,1,15",ThirdYear
15.0,"19,11,11,3,11,11,3,1,1,3",ThirdYear
15.0,"3,4,8,4,14,12,12,11,11,4",ThirdYear
15.0,"4,11,11,14,14,16,8,10,10,9",ThirdYear
15.0,"11,12,5,9,3,3,9,14,13,17",ThirdYear
15.0,"16,16,12,4,12,12,12,11,12,5",ThirdYear
15.0,"5,5,5,5,5,5,5,7,10,10",ThirdYear
15.0,"8,9,15,10,10,7,7,15,13,13",ThirdYear
15.0,"4,16,17,4,14,13,13,11,14,15",ThirdYear
15.0,"15,9,0,6,4,7,10,7,7,17",ThirdYear
15.0,"20,4,4,17,16,16,14,4,4,4",ThirdYear
15.0,"12,11,8,15,9,17,9,9,4,12",ThirdYear
15.0,"5,5,5,9,5,4,7,5,5,12",ThirdYear
15.0,"0,5,14,16,12,5,4,16,13,12",ThirdYear
15.0,"9,9,16,17,16,14,9,9,11,8",ThirdYear
15.0,"8,9,16,3,2,2,2,2,2,2",ThirdYear
15.0,"2,2,2,3,3,2,2,2,2,2",ThirdYear
15.0,"2,2,3,3,2,2,2,2,2,2",ThirdYear
15.0,"2,2,3,3,3,2,2,3,3,6",ThirdYear
15.0,"3,3,3,3,3,0,3,3,3,3",ThirdYear
15.0,"3,3,3,3,6,6,3,3,3,3",ThirdYear
15.0,"6,3,2,2,2,2,2,2,2,2",ThirdYear
15.0,"3,6,3,3,3,2,2,2,2,2",ThirdYear
15.0,"18,2,2,2,2,2,2,2,3,1",ThirdYear
15.0,"0,3,3,3,3,3,3,3,3,6",ThirdYear
15.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
15.0,"2,2,2,2,2,2,2,2,2,2",ThirdYear
15.0,"2,2,2,2,2,2,2,2,2,2",ThirdYear
15.0,"2,2,2,2,2,3,6,3,3,2",ThirdYear
15.0,"2,2,2,2,2,2,2,2,8,15",ThirdYear
15.0,"5,2,11,5,2,2,2,2,2,7",ThirdYear
15.0,"7,7,8,0,7,16,7,15,13,13",ThirdYear
15.0,"7,7,2,2,2,7,16,2,19,2",ThirdYear
15.0,"7,2,2,2,2,2,2,7,2,2",ThirdYear
15.0,"2,2,7,2,1,1,2,2,1,1",ThirdYear
15.0,"2,2,11,2,2,2,1,2,5,7",ThirdYear
15.0,"7,2,7,12,0,19,7,2,2,1",ThirdYear
15.0,"1,2,7,2,2,2,2,1,13,12",ThirdYear
15.0,"7,2,7,2,2,11,2,2,1,2",ThirdYear
15.0,"2,5,7,7,2,2,13,7,2,2",ThirdYear
16.0,"4,3,3,3,3,3,3,3,3,3",FirstYear
16.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
16.0,"3,3,3,3,14,12,12,16,15,12",FirstYear
16.0,"1,15,14,11,19,19,1,0,15,4",FirstYear
16.0,"8,4,4,9,10,21,3,10,10,9",FirstYear
16.0,"4,3,3,3,3,3,3,3,3,5",FirstYear
16.0,"3,2,14,13,16,16,17,17,17,17",FirstYear
16.0,"9,15,10,7,10,5,5,11,12,9",FirstYear
16.0,"9,7,10,0,9,15,21,21,9,16",FirstYear
16.0,"16,14,13,13,13,13,14,13,13,11",FirstYear
16.0,"13,14,12,11,11,9,11,9,6,0",FirstYear
16.0,"17,16,0,9,9,8,3,3,3,9",FirstYear
16.0,"17,6,6,3,6,6,6,6,3,6",FirstYear
16.0,"6,6,6,6,3,9,9,0,15,16",FirstYear
16.0,"15,15,15,14,8,8,8,8,11,14",FirstYear
16.0,"12,13,2,5,20,19,19,1,18,18",FirstYear
16.0,"3,3,1,1,7,5,8,4,4,2",FirstYear
16.0,"11,11,7,7,5,5,8,8,8,13",FirstYear
16.0,"15,8,8,9,15,9,16,19,15,17",FirstYear
16.0,"17,15,18,18,7,4,5,7,2,16",FirstYear
18.0,"18,9,9,0,0,0,0,0,0,9",ThirdYear
18.0,"0,0,8,0,0,0,2,7,9,15",ThirdYear
18.0,"17,17,15,18,17,11,9,8,8,0",ThirdYear
18.0,"0,0,0,8,9,9,0,21,15,0",ThirdYear
18.0,"0,0,0,0,12,12,12,12,9,0",ThirdYear
18.0,"0,9,9,29,29,17,15,5,5,7",ThirdYear
18.0,"19,9,29,0,0,9,0,11,9,8",ThirdYear
18.0,"9,9,8,9,1,1,8,0,1,0",ThirdYear
18.0,"0,0,0,0,9,9,9,9,9,9",ThirdYear
18.0,"0,9,8,8,9,9,9,9,9,9",ThirdYear
18.0,"0,9,7,7,12,12,15,17,17,29",ThirdYear
18.0,"12,17,22,12,12,29,15,15,9,9",ThirdYear
18.0,"9,9,7,0,8,8,9,8,8,8",ThirdYear
18.0,"8,8,9,0,9,9,9,31,9,19",ThirdYear
18.0,"9,0,9,9,9,8,8,9,9,0",ThirdYear
18.0,"0,0,0,0,0,0,0,0,9,9",ThirdYear
18.0,"9,0,0,9,18,0,9,9,19,9",ThirdYear
18.0,"7,0,0,0,18,17,15,0,12,13",ThirdYear
18.0,"13,29,31,17,0,5,29,29,12,15",ThirdYear
18.0,"12,7,17,12,30,31,0,9,0,0",ThirdYear
18.0,"8,9,11,2,2,9,9,9,9,9",ThirdYear
18.0,"8,2,1,9,9,8,0,30,12,29",ThirdYear
18.0,"12,0,19,17,18,0,9,8,2,16",ThirdYear
18.0,"15,4,10,6,4,4,6,6,0,0",ThirdYear
18.0,"6,0,0,15,15,0,20,20,19,16",ThirdYear
18.0,"0,21,15,15,14,10,12,13,13,12",ThirdYear
18.0,"21,24,23,33,28,24,0,21,0,22",ThirdYear
18.0,"15,0,18,10,11,10,12,12,12,13",ThirdYear
18.0,"21,21,4,8,3,4,4,4,4,4",ThirdYear
18.0,"3,3,8,8,4,4,4,4,6,2",ThirdYear
18.0,"2,2,0,12,2,22,22,23,0,20",ThirdYear
18.0,"12,12,12,2,2,2,2,1,3,3",ThirdYear
18.0,"8,28,32,29,29,30,8,8,4,4",ThirdYear
18.0,"1,3,8,8,29,29,24,8,1,4",ThirdYear
18.0,"24,24,24,24,24,4,4,2,4,4",ThirdYear
18.0,"4,4,4,4,4,0,2,2,12,0",ThirdYear
18.0,"0,0,11,12,12,12,20,18,16,23",ThirdYear
18.0,"23,19,21,2,2,15,0,0,0,12",ThirdYear
18.0,"12,2,11,2,3,3,3,3,3,8",ThirdYear
18.0,"1,1,3,2,4,4,4,4,2,3",ThirdYear
18.0,"3,3,3,3,3,3,11,16,0,10",ThirdYear
18.0,"9,9,3,2,9,11,11,19,1,1",ThirdYear
18.0,"1,1,9,10,9,9,9,9,4,8",ThirdYear
18.0,"4,3,2,3,3,3,4,8,11,11",ThirdYear
18.0,"14,3,3,3,3,3,0,3,2,12",ThirdYear
18.0,"13,5,3,3,3,3,3,3,3,3",ThirdYear
18.0,"3,6,1,14,16,0,16,14,14,16",ThirdYear
18.0,"16,19,14,14,11,21,21,10,9,9",ThirdYear
18.0,"3,3,2,21,21,3,3,3,3,3",ThirdYear
18.0,"3,3,3,11,1,1,19,19,11,11",ThirdYear
18.0,"0,4,9,10,9,9,9,21,1,0",ThirdYear
18.0,"11,11,12,11,19,3,3,3,3,3",ThirdYear
18.0,"3,3,3,3,2,3,3,3,3,3",ThirdYear
18.0,"17,16,16,14,11,1,1,1,20,1",ThirdYear
18.0,"1,1,20,1,1,1,1,1,1,1",ThirdYear
18.0,"6,14,12,11,1,3,1,3,3,3",ThirdYear
18.0,"21,21,21,21,4,4,5,2,3,3",ThirdYear
18.0,"2,4,9,9,9,9,4,4,5,3",ThirdYear
18.0,"4,1,1,1,1,3,4,4,4,1",ThirdYear
18.0,"1,14,13,15,17,9,9,21,19,19",ThirdYear
18.0,"1,21,10,9,9,9,9,9,9,9",ThirdYear
18.0,"9,10,21,0,10,9,4,2,5,4",ThirdYear
18.0,"5,5,0,4,4,4,4,2,3,3",ThirdYear
18.0,"3,7,7,2,0,0,0,15,14,14",ThirdYear
18.0,"14,15,16,17,16,9,9,10,13,13",ThirdYear
18.0,"14,14,13,5,5,12,17,17,17,17",ThirdYear
18.0,"17,17,15,10,9,12,13,12,12,5",ThirdYear
18.0,"5,5,8,17,17,14,12,5,5,11",ThirdYear
18.0,"9,11,13,9,0,11,13,11,14,12",ThirdYear
18.0,"12,10,7,15,15,14,14,14,5,12",ThirdYear
18.0,"13,14,14,13,13,13,14,16,16,16",ThirdYear
18.0,"4,18,17,5,5,8,8,5,5,0",ThirdYear
18.0,"12,12,4,5,5,5,17,20,17,15",ThirdYear
18.0,"10,2,0,0,9,9,0,9,20,20",ThirdYear
18.0,"9,0,0,2,1,4,4,6,8,9",ThirdYear
18.0,"9,9,13,9,9,15,14,14,4,4",ThirdYear
18.0,"4,4,4,17,16,16,17,17,17,17",ThirdYear
18.0,"16,14,9,9,9,20,21,21,19,4",ThirdYear
18.0,"18,4,6,5,8,9,12,7,9,4",ThirdYear
18.0,"17,17,0,10,9,0,9,9,20,21",ThirdYear
18.0,"21,4,18,2,13,2,19,5,1,15",ThirdYear
18.0,"19,2,3,3,6,6,6,6,3,3",ThirdYear
18.0,"1,1,1,1,3,3,3,1,2,2",ThirdYear
18.0,"2,5,2,2,2,3,3,3,3,3",ThirdYear
18.0,"3,3,3,3,3,3,3,3,9,14",ThirdYear
18.0,"15,8,2,2,2,2,19,19,19,3",ThirdYear
18.0,"3,3,3,19,19,18,13,9,3,6",ThirdYear
18.0,"6,6,6,6,9,9,14,15,15,15",ThirdYear
18.0,"8,8,0,14,14,13,11,0,2,15",ThirdYear
18.0,"2,2,18,2,2,2,19,3,3,3",ThirdYear
18.0,"3,3,3,3,3,3,3,3,3,19",ThirdYear
18.0,"19,2,2,2,19,19,2,19,19,1",ThirdYear
18.0,"1,1,1,1,2,9,19,2,2,0",ThirdYear
18.0,"2,2,9,9,9,2,2,2,19,18",ThirdYear
18.0,"19,5,1,19,3,3,3,19,18,20",ThirdYear
18.0,"14,1,3,3,3,3,1,2,3,3",ThirdYear
18.0,"3,3,2,2,13,13,8,15,15,9",ThirdYear
18.0,"15,9,9,3,6,6,3,19,3,3",ThirdYear
18.0,"3,9,19,19,18,2,2,2,19,19",ThirdYear
18.0,"19,3,3,13,2,13,13,5,8,15",ThirdYear
18.0,"15,19,18,15,4,4,5,9,7,4",ThirdYear
18.0,"1,4,1,1,2,11,11,11,2,15",ThirdYear
18.0,"16,2,19,16,19,19,18,18,13,8",ThirdYear
18.0,"13,13,5,5,5,13,13,14,12,12",ThirdYear
18.0,"12,8,8,7,8,7,5,5,5,6",ThirdYear
18.0,"5,9,0,18,15,15,13,13,0,5",ThirdYear
18.0,"5,5,5,5,5,12,13,13,13,11",ThirdYear
18.0,"11,11,2,2,7,11,11,2,2,11",ThirdYear
18.0,"11,1,1,2,11,11,1,1,11,11",ThirdYear
18.0,"2,1,5,11,11,2,17,5,15,5",ThirdYear
18.0,"2,4,2,15,19,16,2,15,19,11",ThirdYear
18.0,"11,2,2,13,1,2,1,11,11,11",ThirdYear
18.0,"13,13,16,19,2,2,2,2,2,7",ThirdYear
18.0,"5,15,19,7,7,15,7,4,5,5",ThirdYear
18.0,"5,8,5,13,7,14,12,5,5,5",ThirdYear
19.0,"0,9,8,0,0,0,18,8,0,0",ThirdYear
19.0,"9,0,0,9,9,9,9,13,12,13",ThirdYear
19.0,"13,17,0,7,7,2,2,7,0,9",ThirdYear
19.0,"8,8,9,0,9,9,8,8,8,9",ThirdYear
19.0,"0,0,0,0,0,0,0,0,9,0",ThirdYear
19.0,"9,12,9,9,9,9,9,9,9,9",ThirdYear
19.0,"9,9,0,9,19,19,0,9,19,9",ThirdYear
19.0,"9,9,9,9,9,9,0,0,0,0",ThirdYear
19.0,"0,0,9,0,8,9,9,9,9,0",ThirdYear
19.0,"0,0,17,9,0,8,0,2,2,2",ThirdYear
19.0,"7,7,7,7,7,8,8,8,8,8",ThirdYear
19.0,"8,0,0,8,9,9,9,9,9,0",ThirdYear
19.0,"23,15,0,0,0,0,0,9,9,9",ThirdYear
19.0,"7,7,5,5,5,0,13,21,17,15",ThirdYear
19.0,"8,0,8,9,9,9,9,0,9,9",ThirdYear
19.0,"0,0,0,8,9,9,9,9,9,9",ThirdYear
19.0,"0,19,7,9,11,7,7,7,0,11",ThirdYear
19.0,"0,19,18,9,18,0,9,19,0,0",ThirdYear
19.0,"9,9,19,0,0,0,9,9,12,12",ThirdYear
19.0,"12,9,9,9,8,8,8,8,8,9",ThirdYear
19.0,"8,8,9,8,9,0,9,8,8,9",ThirdYear
19.0,"8,8,0,9,8,8,9,9,9,9",ThirdYear
19.0,"9,9,8,8,8,9,9,8,8,8",ThirdYear
19.0,"8,8,8,8,8,9,19,8,9,9",ThirdYear
19.0,"9,0,0,0,18,18,9,12,0,17",ThirdYear
19.0,"12,13,13,6,7,7,2,2,2,0",ThirdYear
19.0,"0,0,9,9,9,2,0,2,4,6",ThirdYear
19.0,"2,2,4,6,4,4,2,4,4,4",ThirdYear
19.0,"4,8,15,15,12,12,24,24,2,22",ThirdYear
19.0,"22,23,20,20,12,12,12,0,0,12",ThirdYear
19.0,"13,13,12,12,11,14,0,0,15,0",ThirdYear
19.0,"0,0,0,0,15,14,11,2,10,16",ThirdYear
19.0,"0,15,19,21,20,22,12,12,12,0",ThirdYear
19.0,"4,1,1,1,3,1,1,1,1,1",ThirdYear
19.0,"1,1,2,2,1,1,3,2,2,16",ThirdYear
19.0,"0,0,0,0,23,22,12,12,12,12",ThirdYear
19.0,"12,11,0,0,2,19,18,24,17,30",ThirdYear
19.0,"26,26,30,29,29,29,32,32,24,2",ThirdYear
19.0,"6,4,2,26,24,23,22,22,0,0",ThirdYear
19.0,"0,20,20,12,12,12,12,12,12,12",ThirdYear
19.0,"14,2,2,2,2,5,4,4,4,4",ThirdYear
19.0,"4,4,4,4,8,3,1,1,3,8",ThirdYear
19.0,"8,8,1,1,1,1,1,1,2,8",ThirdYear
19.0,"8,24,26,32,8,4,2,6,2,6",ThirdYear
19.0,"2,12,15,11,19,23,28,17,8,8",ThirdYear
19.0,"3,3,1,1,1,2,1,24,24,17",ThirdYear
19.0,"8,2,1,1,2,12,11,28,24,23",ThirdYear
19.0,"22,23,20,0,28,26,0,26,24,0",ThirdYear
19.0,"31,30,26,29,29,24,25,9,4,15",ThirdYear
19.0,"2,12,2,0,2,10,12,12,2,2",ThirdYear
19.0,"6,4,4,4,4,4,4,4,4,4",ThirdYear
19.0,"15,12,2,5,20,0,4,4,2,2",ThirdYear
19.0,"2,2,5,12,12,0,13,20,15,23",ThirdYear
19.0,"22,33,22,0,19,0,0,21,0,17",ThirdYear
19.0,"0,0,21,23,23,24,0,4,2,11",ThirdYear
19.0,"4,4,6,0,15,14,12,15,4,4",ThirdYear
19.0,"4,4,0,15,15,12,2,2,2,22",ThirdYear
19.0,"32,32,29,24,8,24,8,4,4,2",ThirdYear
19.0,"2,20,0,15,15,14,22,22,2,0",ThirdYear
19.0,"15,0,0,0,0,0,12,12,2,4",ThirdYear
19.0,"4,4,4,6,4,4,4,3,4,4",ThirdYear
19.0,"4,4,4,2,1,1,1,3,1,1",ThirdYear
19.0,"1,1,1,3,3,3,3,8,2,4",ThirdYear
19.0,"8,28,30,17,24,31,23,33,24,0",ThirdYear
19.0,"0,0,13,0,0,12,12,12,12,18",ThirdYear
19.0,"0,0,0,4,12,24,24,4,3,3",ThirdYear
19.0,"3,3,3,3,3,3,16,12,11,16",ThirdYear
19.0,"1,16,16,17,17,17,16,19,19,19",ThirdYear
19.0,"19,19,19,14,4,4,8,4,4,4",ThirdYear
19.0,"4,4,2,1,1,0,1,1,1,11",ThirdYear
19.0,"21,10,9,10,21,9,9,10,11,11",ThirdYear
19.0,"11,11,14,14,11,3,3,5,3,3",ThirdYear
19.0,"3,3,2,3,5,5,0,0,11,4",ThirdYear
19.0,"8,3,1,12,15,16,12,17,2,5",ThirdYear
19.0,"5,0,3,3,3,3,3,4,5,4",ThirdYear
19.0,"4,3,3,3,3,3,3,3,3,3",ThirdYear
19.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
19.0,"3,3,5,4,2,11,11,19,10,19",ThirdYear
19.0,"19,19,19,19,4,4,11,11,12,11",ThirdYear
19.0,"0,2,3,3,1,1,3,5,5,8",ThirdYear
19.0,"4,4,9,5,4,4,14,12,12,13",ThirdYear
19.0,"14,0,11,12,15,16,7,3,3,3",ThirdYear
19.0,"3,3,3,4,3,3,3,3,3,3",ThirdYear
19.0,"2,3,5,11,4,11,11,11,21,10",ThirdYear
19.0,"21,21,9,10,10,21,11,6,9,9",ThirdYear
19.0,"2,3,5,2,2,3,21,21,21,10",ThirdYear
19.0,"11,1,11,12,13,17,0,1,11,15",ThirdYear
19.0,"1,1,1,1,1,2,5,4,5,9",ThirdYear
19.0,"9,9,10,21,11,11,14,11,16,17",ThirdYear
19.0,"11,19,18,19,5,2,2,14,14,15",ThirdYear
19.0,"16,16,17,8,7,8,11,12,12,5",ThirdYear
19.0,"5,5,5,5,5,5,8,8,8,7",ThirdYear
19.0,"13,14,4,14,13,13,14,14,14,9",ThirdYear
19.0,"15,10,7,13,13,14,13,13,13,13",ThirdYear
19.0,"14,14,14,14,14,14,14,14,14,14",ThirdYear
19.0,"14,14,14,14,9,10,10,9,9,21",ThirdYear
19.0,"21,17,17,16,9,11,9,5,5,9",ThirdYear
19.0,"11,9,12,11,9,7,15,15,15,15",ThirdYear
19.0,"10,7,15,15,7,15,15,15,5,5",ThirdYear
19.0,"5,7,2,3,3,11,11,11,9,11",ThirdYear
19.0,"12,11,13,13,13,13,13,13,13,14",ThirdYear
19.0,"14,16,9,12,11,10,10,10,10,10",ThirdYear
19.0,"5,5,5,5,6,12,16,16,17,9",ThirdYear
19.0,"4,4,4,21,21,21,21,21,21,9",ThirdYear
19.0,"9,3,3,1,9,7,7,8,9,9",ThirdYear
19.0,"9,15,9,13,9,11,16,17,17,17",ThirdYear
19.0,"17,13,11,5,5,5,5,5,5,5",ThirdYear
19.0,"8,8,5,12,12,9,10,10,13,14",ThirdYear
19.0,"14,14,14,16,15,13,13,4,9,14",ThirdYear
19.0,"13,2,13,3,8,3,8,0,9,8",ThirdYear
19.0,"11,13,9,8,2,15,2,5,5,2",ThirdYear
19.0,"4,19,19,18,2,19,3,3,3,3",ThirdYear
19.0,"3,3,3,3,3,3,3,3,3,3",ThirdYear
19.0,"6,3,3,3,2,13,18,19,3,19",ThirdYear
19.0,"19,19,1,19,19,19,19,19,19,19",ThirdYear
19.0,"19,19,20,20,18,2,2,9,3,3",ThirdYear
19.0,"3,9,9,9,6,0,3,3,3,3",ThirdYear
19.0,"3,3,1,2,5,8,3,3,3,3",ThirdYear
19.0,"3,9,15,9,9,9,9,9,2,19",ThirdYear
19.0,"19,19,19,3,3,3,3,3,3,3",ThirdYear
19.0,"6,6,3,3,3,3,15,9,11,10",ThirdYear
19.0,"8,13,2,16,2,15,13,12,13,18",ThirdYear
19.0,"18,13,3,3,3,3,3,3,3,3",ThirdYear
19.0,"3,1,2,3,3,3,3,6,3,6",ThirdYear
19.0,"3,3,19,19,6,3,1,6,6,1",ThirdYear
19.0,"3,3,3,3,3,19,19,19,19,19",ThirdYear
19.0,"1,1,5,9,3,15,9,15,15,15",ThirdYear
19.0,"2,18,15,15,10,11,15,8,13,13",ThirdYear
19.0,"13,13,14,2,2,13,13,19,19,19",ThirdYear
19.0,"19,3,3,19,19,17,3,19,19,3",ThirdYear
19.0,"0,9,9,9,1,6,6,6,0,6",ThirdYear
19.0,"3,3,3,3,3,3,6,3,3,1",ThirdYear
19.0,"5,18,18,18,18,20,3,3,14,11",ThirdYear
19.0,"0,5,5,2,3,11,11,11,15,7",ThirdYear
19.0,"7,9,5,5,7,7,5,7,4,4",ThirdYear
19.0,"4,4,7,7,6,9,9,16,19,13",ThirdYear
19.0,"15,16,16,4,7,19,16,16,7,16",ThirdYear
